time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-06T17:42:58.620Z,36.7355,-116.2085,7.4,0.1,ml,11,117.62,0.015,0.04,nn,nn00718457,2020-03-06T17:49:26.199Z,"52km ESE of Beatty, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-03-06T17:40:32.300Z,19.2084999,-155.3966675,30.94,1.83,md,33,165,0.02886,0.14,hv,hv71415067,2020-03-06T17:43:58.740Z,"8km E of Pahala, Hawaii",earthquake,0.69,0.8,0.18,8,automatic,hv,hv
2020-03-06T17:24:26.824Z,61.9886,-151.834,97.4,2.2,ml,,,,0.51,ak,ak02031fqh5x,2020-03-06T17:37:23.685Z,"97km WSW of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-03-06T17:20:17.140Z,35.7003333,-117.4928333,2.47,1.3,ml,20,105,0.1432,0.16,ci,ci38385330,2020-03-06T17:23:58.959Z,"11km SW of Searles Valley, CA",earthquake,0.33,0.86,0.127,18,automatic,ci,ci
2020-03-06T17:04:08.827Z,61.3008,-152.2961,1.3,0.2,ml,,,,0.11,ak,ak02031fm5f6,2020-03-06T17:09:53.807Z,"87km NW of Nikiski, Alaska",earthquake,,3.7,,,automatic,ak,ak
2020-03-06T16:59:42.400Z,36.0958333,-117.857,2.28,1.63,ml,24,54,0.02177,0.16,ci,ci38385322,2020-03-06T17:03:20.438Z,"10km NE of Coso Junction, CA",earthquake,0.25,0.27,0.202,25,automatic,ci,ci
2020-03-06T16:53:40.980Z,17.9803,-66.8183,16,1.93,md,6,193,0.0611,0.24,pr,pr2020066016,2020-03-06T17:28:38.498Z,"1km S of Indios, Puerto Rico",earthquake,2.08,1.62,0.17,3,reviewed,pr,pr
2020-03-06T16:46:48.300Z,17.8223,-66.8505,6,2.15,md,7,261,0.1555,0.06,pr,pr2020066017,2020-03-06T17:28:51.145Z,"17km SSE of Guanica, Puerto Rico",earthquake,0.61,0.32,0.25,5,reviewed,pr,pr
2020-03-06T16:40:02.790Z,38.8031654,-122.8205032,2.06,1.36,md,30,81,0.008852,0.05,nc,nc73350510,2020-03-06T17:12:02.942Z,"6km WNW of The Geysers, CA",earthquake,0.2,0.34,0.15,8,automatic,nc,nc
2020-03-06T16:33:45.882Z,60.2527,-147.2021,10.4,1.9,ml,,,,0.61,ak,ak02031f70fw,2020-03-06T16:41:27.052Z,"85km WSW of Cordova, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-03-06T16:25:42.840Z,17.8955,-66.8068,11,2.69,md,8,239,0.1076,0.19,pr,pr2020066014,2020-03-06T16:37:56.359Z,"10km S of Indios, Puerto Rico",earthquake,1.08,0.82,0.05,3,reviewed,pr,pr
2020-03-06T16:20:49.450Z,61.0827,-152.3371,45.8,0.5,ml,,,,0.51,ak,ak02031f48ep,2020-03-06T16:23:13.001Z,"70km NNE of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-03-06T16:17:26.610Z,17.9055,-66.8448,12,1.94,md,6,244,0.0776,0.13,pr,pr2020066015,2020-03-06T16:39:54.871Z,"9km SE of Guanica, Puerto Rico",earthquake,1.18,0.52,0.18,2,reviewed,pr,pr
2020-03-06T16:14:36.330Z,19.4073334,-155.2881622,0.55,1.8,md,16,82,0.01097,0.12,hv,hv71414957,2020-03-06T16:17:34.210Z,"5km WSW of Volcano, Hawaii",earthquake,0.29,0.46,0.19,13,automatic,hv,hv
2020-03-06T16:09:04.202Z,60.8371,-152.2796,69.3,0.6,ml,,,,0.89,ak,ak02031f1s8e,2020-03-06T16:14:30.868Z,"46km NNE of Redoubt Volcano, Alaska",earthquake,,4.4,,,automatic,ak,ak
